Species,Virus name,Isolate,Accession,Available sequence,Abbrev
Sidastrum golden leaf spot virus,Sidastrum golden leaf spot virus,Brazil/DF334/2010,DNA-A: HM357458,Complete genome,SidGLSV
Siegesbeckia yellow vein Guangxi virus,Siegesbeckia yellow vein Guangxi virus,China/Guangxi 111/2005,AM238692,Complete genome,SgYVGxV
Siegesbeckia yellow vein virus,Siegesbeckia yellow vein virus,China/Guangdong 13/2004,AM183224,Complete genome,SgYVV
Solanum mosaic Bolivia virus,Solanum mosaic Bolivia virus,Bolivia-2007,DNA-A: HM585435;DNA-B: HM585436,Complete genome,SoMBoV
South African cassava mosaic virus,South African cassava mosaic virus,South Africa,DNA-A: AF155806;DNA-B: AF155807,Complete genome,SACMV
Soybean blistering mosaic virus,soybean blistering mosaic virus,Argentina/NOA/2005,DNA-A: EF016486,Complete genome,SbBMV
Soybean chlorotic blotch virus,soybean chlorotic blotch virus,Nigeria/Soybean 19/2007,DNA-A: GQ472985;DNA-B: GQ472986,Complete genome,SbCBV
Soybean mild mottle virus,soybean mild mottle virus,Nigeria/Soybean 17/2007,GQ472984,Complete genome,SbMMoV
Spilanthes yellow vein virus,Spilanthes yellow vein virus,Vietnam/Dalat/2005,DNA-A: DQ641694,Complete genome,SpYVV
Spinach yellow vein virus,spinach yellow vein virus,India/Sikar/AS22,KF660223,Complete genome,SpiYVV
Squash leaf curl China virus,squash leaf curl China virus,Vietnam/B/China,DNA-A: AF509743;DNA-B: AF509742,Complete genome,SLCCNV/CN
Squash leaf curl China virus,squash leaf curl China virus,Philippines/Benguet/P54,DNA-A: EU487031,Complete genome,SLCCNV
Squash leaf curl China virus,squash leaf curl China virus,Pakistan/Lahore/2004/India,AM286794,Complete genome,SLCCNV/IN
Squash leaf curl China virus,squash leaf curl China virus,Thailand/Nakhon Pathom/Wax Gourd/2007/Thailand,DNA-A: EU543562,Complete genome,SLCCNV/TH
Squash leaf curl Philippines virus,squash leaf curl Philippines virus,Philippines/Munoz,DNA-A: AB085793;DNA-B: AB085794,Complete genome,SLCuPV
Squash leaf curl virus,squash leaf curl virus,United States/Imperial Valley/1979,DNA-A: M38183;DNA-B: M38182,Complete genome,SLCuV
Squash leaf curl Yunnan virus,squash leaf curl Yunnan virus,China/Yunnan/Y23,AJ420319,Complete genome,SLCuYV
Squash mild leaf curl virus,squash mild leaf curl virus,United States/Imperial Valley/1979,DNA-A: AF421552;DNA-B: AF421553,Complete genome,SMLCuV
Sri Lankan cassava mosaic virus,Sri Lankan cassava mosaic virus,Sri Lanka/Colombo/1998/Sri Lanka,DNA-A: AJ314737;DNA-B: AJ314738,Complete genome,SLCMV/LK
Sri Lankan cassava mosaic virus,Sri Lankan cassava mosaic virus,India/Adivaram/2003/India,DNA-A: AJ579307,Complete genome,SLCMV/IN
Stachytarpheta leaf curl virus,Stachytarpheta leaf curl virus,China/Hainan 5/2001,DNA-A: AJ495814,Complete genome,StaLCuV
Sunn hemp leaf distortion virus,sunn hemp leaf distortion virus,India/Barrackpore 1/2008,DNA-A: FJ455449,Complete genome,SHLDV
Sweet potato golden vein Korea virus,sweet potato golden Korea vein virus,South Korea-20102-2012,KT992056,Complete genome,SPGVKRV
Sweet potato leaf curl Canary virus,sweet potato leaf curl Canary virus,Spain/Canary Islands/BG25/2002,FJ529203,Complete genome,SPLCCV
Sweet potato leaf curl China virus,sweet potato leaf curl China virus,China/2005,DNA-A: DQ512731,Complete genome,SPLCCNV
Sweet potato leaf curl Georgia virus,sweet potato leaf curl Georgia virus,United States/Georgia/16,DNA-A: AF326775,Complete genome,SPLCGV
Sweet potato leaf curl Guangxi virus,sweet potato leaf curl Guangxi virus,China-Guangxi5-2011,KJ476510,Complete genome,SPLCGV
Sweet potato leaf curl Henan virus,sweet potato leaf curl Henan virus,China/Henan 10/2012,KC907406,Complete genome,SPLCHnV
Sweet potato leaf curl Hubei virus,sweet potato leaf curl Hubei virus,CN-Hubei22-17,MH577011,Complete genome,SPLCHbV
Sweet potato leaf curl Sao Paulo virus,sweet potato leaf curl Sao Paulo virus,Brazil/Sao Paulo/Alvares Machado/2009,HQ393477,Complete genome,SPLCSPV
Sweet potato leaf curl Shandong virus,sweet potato leaf curl Shandong virus,CN-SD-14,KU323597,Complete genome,SPLCSdV
Sweet potato leaf curl Sichuan virus 1,sweet potato leaf curl Sichuan virus 1,China/Sichuan 15/2012,KC488316,Complete genome,SPLCSiV/1
Sweet potato leaf curl Sichuan virus 2,sweet potato leaf curl Sichuan virus 2,China/Sichuan 14/2012,KF156759,Complete genome,SPLCSiV/2
Sweet potato leaf curl South Carolina virus,sweet potato leaf curl South Carolina virus,United States/South Carolina/648/B9/2006,HQ333144,Complete genome,SPLCSCV
Sweet potato leaf curl virus,sweet potato leaf curl virus,United States/Louisiana/1994/United States,DNA-A: AF104036,Complete genome,SPLCV/US
Sweet potato leaf curl virus,sweet potato leaf curl virus,China/Yunnan/RL31/2006/China,DNA-A: EU253456,Complete genome,SPLCV/CN
Sweet potato leaf curl virus,sweet potato leaf curl virus,Spain/1998,AJ132548,Complete genome,SPLCV
Sweet potato leaf curl virus,sweet potato leaf curl virus,Brazil/Para/Belem1/2008/Brazil,FJ969829,Complete genome,SPLCV/BR
Sweet potato leaf curl virus,sweet potato leaf curl virus,China/Fujian/Fp3/2007/Fujian,FJ515898,Complete genome,SPLCV/Fu
Sweet potato leaf curl virus,sweet potato leaf curl virus,Italy/Sicily/2002/Italy,DNA-A: AJ586885,Complete genome,SPLCV/IT
Sweet potato leaf curl virus,sweet potato leaf curl virus,Japan/Miyazaki/1996/Japan,DNA-A: AB433786,Complete genome,SPLCV/JP
Sweet potato leaf curl virus,sweet potato leaf curl virus,Brazil/Paraiba/Souza1/2008/Paraiba,FJ969830,Complete genome,SPLCV/PB
Sweet potato leaf curl virus,sweet potato leaf curl virus,Brazil/Rondonia/Porto Velho/2008/Pernambuco,HQ393456,Complete genome,SPLCV/PE
Sweet potato leaf curl virus,sweet potato leaf curl virus,Puerto Rico/80/N2/2006/Puerto Rico,DNA-A: DQ644562,Complete genome,SPLCV/PR
Sweet potato leaf curl virus,sweet potato leaf curl virus,Brazil/Bahia/Utinga/2008/Rondonia,HQ393447,Complete genome,SPLCV/RO
Sweet potato leaf curl virus,sweet potato leaf curl virus,Brazil/Sao Paulo/Alvares Machado/2009/Sao Paulo,HQ393473,Complete genome,SPLCV/SP
Sweet potato leaf curl virus,sweet potato leaf curl virus,United States/South Carolina/646/B11/2006/South Carolina,HQ333138,Complete genome,SPLCV/SC
Sweet potato leaf curl virus,sweet potato leaf curl virus,Spain/Canary Islands/BG6/2002/Spain,EF456744,Complete genome,SPLCV/ES
Sweet potato mosaic virus,sweet potato mosaic virus,Brazil/Brasilia1/2008,FJ969831,Complete genome,SPMV
Synedrella yellow vein clearing virus,Synedrella yellow vein clearing virus,India-NCBS_PS_1-2013,DNA-A: KX363443,Complete genome,SyYVCV
Telfairia golden mosaic virus,Telfairia golden mosaic virus,Cameroon-BBT20-2014,DNA-A: KT454832,Complete genome,TelGMV
Tobacco curly shoot virus,tobacco curly shoot virus,China/Yunnan 41/Tomato/2001,DNA-A: AJ457986,Complete genome,TbCSV
Tobacco leaf curl Comoros virus,tobacco leaf curl Comoros virus,Comoros/Simboussa/2004,AM701760,Complete genome,TbLCKMV
Tobacco leaf curl Cuba virus,tobacco leaf curl Cuba virus,Cuba/VC/2015,DNA-A: KX011471;DNA-B: KX011472,Complete genome,TbLCCUV
Tobacco leaf curl Dominican Republic virus,tobacco leaf curl Dominican Republic virus,DO-CG-15,DNA-A: MH514011;DNA-B: MH514012,Complete genome,TbLCDOV
Tobacco leaf curl Pusa virus,tobacco leaf curl Pusa virus,India/Pusa/2009,DNA-A: HQ180391,Complete genome,TbLCPuV/To
Tobacco leaf curl Thailand virus,tobacco leaf curl Thailand virus,Thailand/Tomato/2005,DQ871221,Complete genome,TbLCTHV
Tobacco leaf curl Yunnan virus,tobacco leaf curl Yunnan virus,China/Yunnan 136/2002/China,AJ512761,Complete genome,TbLCYnV/CN
Tobacco leaf curl Zimbabwe virus,tobacco leaf curl Zimbabwe virus,Zimbabwe,AF350330,Complete genome,TbLCZV
Tobacco leaf rugose virus,tobacco leaf rugose virus,Cuba/Havana/2001,DNA-A: AJ488768,Complete genome,TbLRV
Tobacco mottle leaf curl virus,tobacco mottle leaf curl virus,Cuba/Sanci Spiritus/2003,FM160943,Complete genome,TbMoLCV
Tobacco yellow crinkle virus,tobacco yellow crinkle virus,Cuba/2007,DNA-A: FJ213931;DNA-B: HQ896204,Complete genome,TbYCV
Tomato bright yellow mosaic virus,tomato bright yellow mosaic virus,Brazil/BA167/2012,DNA-A: KC791690,Complete genome,ToBYMV
Tomato bright yellow mottle virus,tomato bright yellow mottle virus,Brazil/TO167/2008,DNA-A: KC791691,Complete genome,ToBYMoV
Tomato chino La Paz virus,tomato chino La Paz virus,Mexico/Baja La Paz/2002/A,DNA-A: AY339618,Complete genome,ToChLPV/A
Tomato chino La Paz virus,tomato chino La Paz virus,Mexico/SLP4/2011,JN676150,Complete genome,ToChLPV
Tomato chino La Paz virus,tomato chino La Paz virus,Mexico/Baja El Carrizal/2002/B,DNA-A: AY339619,Complete genome,ToChLPV/A
Tomato chlorotic leaf curl virus,tomato chlorotic leaf curl virus,BR-Alt1-16,DNA-A: MK558058;DNA-B: MK558059,Complete genome,ToCLCV
Tomato chlorotic leaf distortion virus,tomato chlorotic leaf distortion virus,Venezuela/Zulia/2004,DNA-A: HQ201952;DNA-B: HQ201953,Complete genome,ToClLDV
Tomato chlorotic mottle Guyane virus,tomato chlorotic mottle Guyane virus,French Guyana-Mon2-GF455-2009,DNA-A: KR263181;DNA-B: KR263172,Complete genome,ToCMoGV
Tomato chlorotic mottle virus,tomato chlorotic mottle virus,Brazil/Seabra 1/1996/Bahia,DNA-A: AF490004;DNA-B: AF491306,Complete genome,ToCMoV/BA
Tomato chlorotic mottle virus,tomato chlorotic mottle virus,Brazil/Florestal 211/2008,DNA-A: KC706561,Complete genome,ToCMoV
Tomato chlorotic mottle virus,tomato chlorotic mottle virus,Brazil/Betim 1/1996/Minas Gerais,DNA-A: AY090557,Complete genome,ToCMoV/MG
Tomato common mosaic virus,tomato common mosaic virus,Brazil/Coimbra 22/2007,DNA-A: EU710754;DNA-B: EU710755,Complete genome,ToCmMV
Tomato curly stunt virus,tomato curly stunt virus,South Africa/Onderberg/1998,DNA-A: AF261885,Complete genome,ToCSV
Tomato dwarf leaf virus,tomato dwarf leaf virus,Argentin/Pichanal 397/2008,DNA-A: JN564749;DNA-B: JN564750,Complete genome,ToDfLV
Tomato enation leaf curl virus,tomato enation leaf curl virus,India-TC14-2008,DNA-A: KP195260,Complete genome,ToELCV
Tomato golden leaf distortion virus,tomato golden leaf distortion virus,Brazil/TO45/2007,DNA-A: HM357456,Complete genome,ToGLDV
Tomato golden leaf spot virus,tomato golden leaf spot virus,Uruguay-TO83-Araguaina-2013,DNA-A: KC626021,Complete genome,ToGLSV
Tomato golden mosaic virus,tomato golden mosaic virus,Brazil/Common/1984,DNA-A: K02029;DNA-B: K02030,Complete genome,TGMV
Tomato golden mottle virus,tomato golden mottle virus,Mexico/San Luiz Potosi/2005,DNA-A: DQ520943;DNA-B: DQ406674,Complete genome,ToGMoV
Tomato golden vein virus,tomato golden vein virus,Brazil/Ita1220/2003,DNA-A: JF803254;DNA-B: JF803265,Complete genome,TGVV
Tomato interveinal chlorosis virus,tomato interveinal chlorosis virus,Brazil/Pernambuco/Mdc2681/2004,DNA-A: JF803252,Complete genome,ToICV
Tomato latent virus,tomato latent virus,Cuba-T2+-2011,KM926624,Complete genome,ToLV
Tomato leaf curl Anjouan virus,tomato leaf curl Anjouan virus,Comoros/Ouani/2004,AM701758,Complete genome,ToLCAnV
Tomato leaf curl Arusha virus,tomato leaf curl Arusha virus,Tanzania/Kilimandjaro/2005,DNA-A: EF194760,Complete genome,ToLCArV
Tomato leaf curl Bangalore virus,tomato leaf curl Bangalore virus,India/Bangalore 1/A,Z48182,Complete genome,ToLCBaV/A
Tomato leaf curl Bangalore virus,tomato leaf curl Bangalore virus,India/Hessaraghatta/TC265/2010,DNA-A: KF663698,Complete genome,ToLCBaV
Tomato leaf curl Bangalore virus,tomato leaf curl Bangalore virus,India/Bangalore 5/B,DNA-A: AF295401,Complete genome,ToLCBaV/B
Tomato leaf curl Bangalore virus,tomato leaf curl Bangalore virus,India/Bangalore 4/1997/C,DNA-A: AF165098,Complete genome,ToLCBaV/C
Tomato leaf curl Bangalore virus,tomato leaf curl Bangalore virus,India/Kerala II/2005/D,DNA-A: DQ852623,Complete genome,ToLCBaV/D
Tomato leaf curl Bangladesh virus,tomato leaf curl Bangladesh virus,Bangladesh/BD2,AF188481,Complete genome,ToLCBV
Tomato leaf curl Burkina Faso virus,tomato leaf curl Burkina Faso virus,Burkina Faso-Loumbila-Tomate51B1-2013,KX853168,Complete genome,TLCBFV
Tomato leaf curl Cebu virus,tomato leaf curl Cebu virus,Philippines/Cebu P134/2007,DNA-A: EU487042,Complete genome,ToLCCeV
Tomato leaf curl China virus,tomato leaf curl China virus,China/Guangxi 32/2002/Baise,DNA-A: AJ558118,Complete genome,ToLCCNV/BS
Tomato leaf curl China virus,tomato leaf curl China virus,China/Guangxi/Tobacco/JX/2/2010,JF681158,Complete genome,ToLCCNV
Tomato leaf curl China virus,tomato leaf curl China virus,China/Guangxi 18/2002/Nanning1,DNA-A: AJ558119,Complete genome,ToLCCNV/NN1
Tomato leaf curl China virus,tomato leaf curl China virus,China/Guangxi 63/2003/Nanning2,DNA-A: AJ704603,Complete genome,ToLCCNV/NN2
Tomato leaf curl Comoros virus,tomato leaf curl Comoros virus,Mayotte/Kahani/2003,AJ865340,Complete genome,ToLCKMV
Tomato leaf curl Comoros virus,tomato leaf curl Comoros virus,Madagascar/Dimadjou/2006/Madagascar,AM701761,Complete genome,ToLCKMV/MG
Tomato leaf curl Diana virus,tomato leaf curl Diana virus,Madagascar/Namakely/2001,AM701765,Complete genome,ToLCDiV
Tomato leaf curl Ghana virus,tomato leaf curl Ghana virus,Ghana/Akumadan/2006,DNA-A: EU350585,Complete genome,ToLCGV
Tomato leaf curl Ghana virus,tomato leaf curl Ghana virus,Cameroon/AGFG24/2009/Ageratum,DNA-A: FR873228,Complete genome,ToLCGV/Ag
Tomato leaf curl Guangdong virus,tomato leaf curl Guangdong virus,China/Guangzhou 2/2003,DNA-A: AY602165,Complete genome,ToLCGdV
Tomato leaf curl Guangxi virus,tomato leaf curl Guangxi virus,China/Guangxi 1/2003,AM236784,Complete genome,ToLCGxV
Tomato leaf curl Gujarat virus,tomato leaf curl Gujarat virus,India/Varanasi/2001,DNA-A: AY190290;DNA-B: AY190291,Complete genome,ToLCGUV
Tomato leaf curl Hainan virus,tomato leaf curl Hainan virus,China/FQ12/2012,KF150142,Complete genome,ToLCHaiV
Tomato leaf curl Hanoi virus,tomato leaf curl Hanoi virus,Vietnam/Hanoi/Tomato/2010,HQ162270,Complete genome,ToLCHaV
Tomato leaf curl Hsinchu virus,tomato leaf curl Hsinchu virus,China/Hainan/Ramie/2007,DNA-A: EU596959;DNA-B: EU596960,Complete genome,ToLCHsV
Tomato leaf curl Iran virus,tomato leaf curl Iran virus,Iran/Iranshahr,AY297924,Complete genome,ToLCIRV
Tomato leaf curl Japan virus,tomato leaf curl Japan virus,JP-Miy-01,AB236323,Complete genome,ToLCJV
Tomato leaf curl Java virus,tomato leaf curl Java virus,Indonesia/A,AB100304,Complete genome,ToLCJaV/A
Tomato leaf curl Java virus,tomato leaf curl Java virus,Indonesia/Ageratum/B,AB162141,Complete genome,ToLCJaV/B
Tomato leaf curl Joydebpur virus,tomato leaf curl Joydebpur virus,India/Varanasi/Capsicum annuum/2010,DNA-A: HM991146,Complete genome,ToLCJV
Tomato leaf curl Karnataka virus,tomato leaf curl Karnataka virus,India/Bangalore/1993,U38239,Complete genome,ToLCKaV/Ban
Tomato leaf curl Karnataka virus 2,tomato leaf curl Karnataka virus 2,IN-TC289-10,KF551578,Complete genome,ToLCKV2
Tomato leaf curl Karnataka virus 3,tomato leaf curl Karnataka virus 3,IN-TC235-09,KF551585,Complete genome,ToLCKV3
Tomato leaf curl Kerala virus,tomato leaf curl Kerala virus,India/Kerala 3/2007,DNA-A: EU910141,Complete genome,ToLCKeV
Tomato leaf curl Kunene virus,tomato leaf curl Kunene virus,NA-2019,MT045996,Complete genome,ToLCKunV
Tomato leaf curl Laos virus,tomato leaf curl Laos virus,Laos,AF195782,Complete genome,ToLCLV
Tomato leaf curl Liwa virus,tomato leaf curl Liwa virus,Oman/Liwa/LW1/2012,HF912280,Complete genome,ToLCLwV
Tomato leaf curl Madagascar virus,tomato leaf curl Madagascar virus,Madagascar/Morondova/2001/Menabe,AJ865338,Complete genome,ToLCMGV/Men
Tomato leaf curl Madagascar virus,tomato leaf curl Madagascar virus,Madagascar/Toliary/2001/Atsimo,AJ865339,Complete genome,ToLCMGV/Ats
Tomato leaf curl Mahe virus,tomato leaf curl Mahé virus,SC-Pra-SC8-1b-17,MH410152,Complete genome,ToLCMahV
Tomato leaf curl Malaysia virus,tomato leaf curl Malaysia virus,Malaysia/Klang/1997,DNA-A: AF327436,Complete genome,ToLCMYV/MY
Tomato leaf curl Mali virus,tomato leaf curl Mali virus,Mali,AY502936,Complete genome,ToLCMLV
Tomato leaf curl Mindanao virus,tomato leaf curl Mindanao virus,Philippines/Mindanao P162/2007,EU487046,Complete genome,ToLCMiV
Tomato leaf curl Moheli virus,tomato leaf curl Moheli virus,Comoros/Moheli/2005,AM701763,Complete genome,ToLCMohV
Tomato leaf curl Namakely virus,tomato leaf curl Namakely virus,Madagascar/Namakely/2001,AM701764,Complete genome,ToLCNaV
Tomato leaf curl New Delhi virus,tomato leaf curl New Delhi virus,India/New Delhi/Severe/1992,DNA-A: U15015;DNA-B: U15017,Complete genome,ToLCNDV
Tomato leaf curl New Delhi virus 2,tomato leaf curl New Delhi virus 2,India/IANDS1/2011,JQ897969,Complete genome,ToLCNDV2
Tomato leaf curl New Delhi virus 4,tomato leaf curl New Delhi virus 4,India/Junagad/TC306/2011,DNA-A: KF551592,Complete genome,ToLCNDV4
Tomato leaf curl New Delhi virus 5,tomato leaf curl New Delhi virus 5,BD-cuc-06,EF450316,Complete genome,ToLCNDV5
Tomato leaf curl Nigeria virus,tomato leaf curl Nigeria virus,Nigeria/2006,FJ685621,Complete genome,ToLCNGV
Tomato leaf curl Palampur virus,tomato leaf curl Palampur virus,India/Palampur/2007,DNA-A: AM884015;DNA-B: AM992534,Complete genome,ToLCPalV
Tomato leaf curl Patna virus,tomato leaf curl Patna virus,India/Patna/2008,DNA-A: EU862323,Complete genome,ToLCPatV
Tomato leaf curl Philippines virus,tomato leaf curl Philippines virus,Philippines/Los Banos 2/B,AB050597,Complete genome,ToLCPV/B
Tomato leaf curl Philippines virus,tomato leaf curl Philippines virus,Philippines/Laguna/2006/A,DNA-A: AB377113,Complete genome,ToLCPV/A
Tomato leaf curl Philippines virus,tomato leaf curl Philippines virus,Philippines/Laguna/2006/C,DNA-A: AB307731,Complete genome,ToLCPV/C
Tomato leaf curl Pune virus,tomato leaf curl Pune virus,India/Pune/2005,AY754814,Complete genome,ToLCPuV
Tomato leaf curl purple vein virus,tomato leaf curl purple vein virus,BR-P793-15,KY196216,Complete genome,ToLCPVV
Tomato leaf curl Rajasthan virus,tomato leaf curl Rajasthan virus,India/Rajasthan/2005,DNA-A: DQ339117,Complete genome,ToLCRaV
Tomato leaf curl Seychelles virus,tomato leaf curl Seychelles virus,Seychelles/Val d'Endor/2004,AM491778,Complete genome,ToLCSCV
Tomato leaf curl Sinaloa virus,tomato leaf curl Sinaloa virus,Nicaragua/Santa Lucia/NI2,DNA-A: AJ608286;DNA-B: AJ508783,Complete genome,ToLCSiV
Tomato leaf curl Sri Lanka virus,tomato leaf curl Sri Lanka virus,Sri Lanka/Bandarawela/1997,DNA-A: AF274349,Complete genome,ToLCLKV
Tomato leaf curl Sudan virus,tomato leaf curl Sudan virus,Sudan/Gezira/1996/Gezira,AY044137,Complete genome,ToLCSDV/Gez
Tomato leaf curl Sudan virus,tomato leaf curl Sudan virus,Sudan/WM/2011,KC763630,Complete genome,ToLCSDV
Tomato leaf curl Sudan virus,tomato leaf curl Sudan virus,Sudan/Shambat/1996/Shambat,AY044139,Complete genome,ToLCSDV/Sha
Tomato leaf curl Sudan virus,tomato leaf curl Sudan virus,Yemen/2005/Yemen,DNA-A: EF110891,Complete genome,ToLCSDV/YE
Tomato leaf curl Sulawesi virus,tomato leaf curl Sulawesi virus,Indonesia/Sulawesi/Langowan F101/2006,DNA-A: FJ237617,Complete genome,ToLCSuV
Tomato leaf curl Taiwan virus,tomato leaf curl Taiwan virus,Taiwan/A,U88692,Complete genome,ToLCTV/A
Tomato leaf curl Taiwan virus,tomato leaf curl Taiwan virus,China/NS1/2011,DNA-A: JQ867093,Complete genome,ToLCTV
Tomato leaf curl Taiwan virus,tomato leaf curl Taiwan virus,Taiwan/Luye 2/4/2009/B,DNA-A: GU723730,Complete genome,ToLCTV/B
Tomato leaf curl Taiwan virus,tomato leaf curl Taiwan virus,Taiwan/Chiayi/LJC14/2005/C,DNA-A: DQ866128,Complete genome,ToLCTV/C
Tomato leaf curl Tanzania virus,tomato leaf curl Tanzania virus,TZ-Ten-05,DQ519575,Complete genome,ToLCTZV
Tomato leaf curl Toliara virus,tomato leaf curl Toliara virus,Madagascar/Miandrivazo/2001,AM701768,Complete genome,ToLCToV
Tomato leaf curl Uganda virus,tomato leaf curl Uganda virus,Uganda/Iganga/2005,DNA-A: DQ127170,Complete genome,ToLCUV
Tomato leaf curl Vietnam virus,tomato leaf curl Vietnam virus,Vietnam/Hanoi/1998,DNA-A: AF264063,Complete genome,ToLCVV
Tomato leaf curl virus,tomato leaf curl virus,Australia/Tomato,S53251,Complete genome,ToLCV/To
Tomato leaf curl virus,tomato leaf curl virus,Australia/Solanum/D1/Solanum,AF084006,Complete genome,ToLCV/Sol
Tomato leaf curl virus,tomato leaf curl virus,India/New Delhi/CTS/2006,DNA-A: DQ629101,Complete genome,ToLCV
Tomato leaf curl virus,tomato leaf curl virus,India/Punjab/Mentha/2007/Bangalore,FJ514798,Complete genome,ToLCV/Ban
Tomato leaf curl virus,tomato leaf curl virus,India/Janti/2005/Janti,AY754812,Complete genome,ToLCV/Jan
Tomato leaf deformation virus,tomato leaf deformation virus,Peru/Tomato/1/2003,DNA-A: GQ334472,Complete genome,ToLDeV
Tomato leaf distortion virus,tomato leaf distortion virus,Brazil/Paty do Alferes 4/2005,DNA-A: EU710749,Complete genome,ToLDV
Tomato mild mosaic virus,tomato mild mosaic virus,Brazil/Paty do Alferes 58/2005,DNA-A: EU710752;DNA-B: EU710753,Complete genome,ToMMV
Tomato mild yellow leaf curl Aragua virus,tomato mild yellow leaf curl Aragua virus,Venezuela/10/2003,DNA-A: AY927277;DNA-B: EF547938,Complete genome,ToMYLCAV
Tomato mosaic Havana virus,tomato mosaic Havana virus,Cuba/Quivican,DNA-A: Y14874;DNA-B: Y14875,Complete genome,ToMHaV
Tomato mosaic severe dwarf virus,tomato mosaic severe dwarf virus,BR-DF-640_AA_LVV-16,DNA-A: MN147863;DNA-B: MN147864,Complete genome,ToMSDV
Tomato mottle leaf curl virus,tomato mottle leaf curl virus,Brazil/Jaiba 13/2008,DNA-A: KC706615,Complete genome,ToMoLCV
Tomato mottle Taino virus,tomato mottle Taino virus,Cuba,DNA-A: AF012300;DNA-B: AF012301,Complete genome,ToMoTaV
Tomato mottle virus,tomato mottle virus,United States/Florida/1989,DNA-A: L14460;DNA-B: L14461,Complete genome,ToMoV
Tomato mottle wrinkle virus,tomato mottle wrinkle virus,Argentina-Pichanal_400-2008,DNA-A: JQ714137;DNA-B: JQ714138,Complete genome,ToMoWV
Tomato rugose mosaic virus,tomato rugose mosaic virus,Brazil/Uberlandia 1/1996,DNA-A: AF291705;DNA-B: AF291706,Complete genome,ToRMV
Tomato rugose yellow leaf curl virus,tomato rugose yellow leaf curl virus,Uruguay/Salto Grande/U2/2009,DNA-A: JN381819;DNA-B: JN381814,Complete genome,TRYLCV
Tomato severe leaf curl Kalakada virus,tomato severe leaf curl Kalakada virus,IN-TC101-07,KP195267,Complete genome,ToSLCKV
Tomato severe leaf curl virus,tomato severe leaf curl virus,Guatemala/Sansirisay/1996/Guatemala,DNA-A: AF130415,Complete genome,ToSLCV/GT
Tomato severe leaf curl virus,tomato severe leaf curl virus,Mexico/Huasteca/2011,DNA-A: JN680352,Complete genome,ToSLCV
Tomato severe leaf curl virus,tomato severe leaf curl virus,Nicaragua/Condega/Nicaragua,DNA-A: AJ508784,Complete genome,ToSLCV/NI
Tomato severe rugose virus,tomato severe rugose virus,Brazil/Petrolina de Goias 1/Capsicum/2003,DNA-A: DQ207749;DNA-B: EF534708,Complete genome,ToSRV
Tomato twisted leaf virus,tomato twisted leaf virus,VE-Be6.6H-05,MK440292,Complete genome,ToTLV
Tomato vein clearing leaf deformation virus,tomato vein clearing leaf deformation virus,AR-Cordoba-Monte Cristo-Tom51-05,DNA-A: MK423208;DNA-B: MK423207,Complete genome,ToVCLDeV
Tomato wrinkled mosaic virus,tomato wrinkled mosaic virus,VE-Tru427-06,DNA-A: KY449275;DNA-B: KY449276,Complete genome,ToWMV
Tomato yellow leaf curl Axarquia virus,tomato yellow leaf curl Axarquia virus,Italy/Sicily2.2/2007,EU734831,Complete genome,TYLCAxV
Tomato yellow leaf curl China virus,tomato yellow leaf curl China virus,China/Guangxi/Honghe,DNA-A: AF311734,Complete genome,TYLCCNV/HH
Tomato yellow leaf curl China virus,tomato yellow leaf curl China virus,China/Yunnan 10/Tobacco/2000/Baoshan,AJ319675,Complete genome,TYLCCNV/BS1
Tomato yellow leaf curl China virus,tomato yellow leaf curl China virus,China/Yunnan 25/Tomato/2000,DNA-A: AJ457985,Complete genome,TYLCCNV
Tomato yellow leaf curl China virus,tomato yellow leaf curl China virus,China/Yunnan 278/Malvastrum/2007/Baoshan3,DNA-A: AM980509,Complete genome,TYLCCNV/BS3
Tomato yellow leaf curl China virus,tomato yellow leaf curl China virus,China/Yunnan/Bean/2004/Bean,DQ256460,Complete genome,TYLCCNV/Bea
Tomato yellow leaf curl China virus,tomato yellow leaf curl China virus,China/Yunnan 5/Tobacco/1999/Dali,DNA-A: AJ319674,Complete genome,TYLCCNV/DL
Tomato yellow leaf curl China virus,tomato yellow leaf curl China virus,China/Yunnan 72/ Datura/2005/Datura,EF011559,Complete genome,TYLCCNV/Dat
Tomato yellow leaf curl Guangdong virus,tomato yellow leaf curl Guangdong virus,China/Guangzhou 3/2003,DNA-A: AY602166,Complete genome,TYLCGdV
Tomato yellow leaf curl Indonesia virus,tomato yellow leaf curl Indonesia virus,Indonesia/Lembang/2005,DNA-A: AF189018,Complete genome,TYLCIDV
Tomato yellow leaf curl Kanchanaburi virus,tomato yellow leaf curl Kanchanaburi virus,Thailand/Kanchanaburi 1/2001,DNA-A: AF511529;DNA-B: AF511528,Complete genome,TYLCKaV
Tomato yellow leaf curl Malaga virus,tomato yellow leaf curl Malaga virus,Spain/421/1999,AF271234,Complete genome,TYLCMaV
Tomato yellow leaf curl Mali virus,tomato yellow leaf curl Mali virus,Burkina Faso/Tom141/2013,LM651400,Complete genome,TYLCMLV
Tomato yellow leaf curl Mali virus,tomato yellow leaf curl Mali virus,Ethiopia/Melkassa/2005/Ethiopia,DNA-A: DQ358913,Complete genome,TYLCMLV/ET
Tomato yellow leaf curl Mali virus,tomato yellow leaf curl Mali virus,Mali/2003/Mali,AY502934,Complete genome,TYLCMLV/ML
